,Status,Paper.code,Paper.number,Screening.set,Extraction.set,Paper,Publication.year,Title,DOI,Species.latin,Family,Class,Phylum,Sex.exposed,Fertilisation.mode,Agricultural.importance,Lab.or.field,Animal.origin,Stressor.variation,Habitat,Country.of.origin,Continent.of.origin,Ocean.sea.of.origin,Exposure.duration,Life.stage.of.animal,Lowest.temp.below.10.C.,Constant.or.fluctuating.,Acclimated.,Effect.size.code,Experiment.code,Trait.category,Trait,Sex,Rearing.temperature,es,v,diff,reftemp,treattemp,warm.cool
386,Good,TEMP2063,1788,34,22B,"Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2063_3,TEMP2063A,Longevity,Longevity in days,Female,25,0.310867427,0.052854599,-10,23,13,Cool
388,Good,TEMP2063,1788,34,22B,"Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2063_3,TEMP2063A,Longevity,Longevity in days,Female,25,0.099097762,0.068055574,-5,23,18,Cool
390,Good,TEMP2063,1788,34,22B,"Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2063_3,TEMP2063A,Longevity,Longevity in days,Female,25,0,0,0,23,23,Reference
392,Good,TEMP2063,1788,34,22B,"Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2063_3,TEMP2063A,Longevity,Longevity in days,Female,25,-0.135032167,0.070879548,5,23,28,Warm
394,Good,TEMP2063,1788,34,22B,"Tian, Z.et al.",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,Aphis glycines,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2063_3,TEMP2063A,Longevity,Longevity in days,Female,25,-0.193365344,0.06961743,10,23,33,Warm
1448,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0.946969026,0.37156974,-12,22,10,Cool
1452,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0.670552473,0.056340421,-8,22,14,Cool
1456,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0.349301094,0.065017277,-4,22,18,Cool
1464,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0,0,0,22,22,Reference
1470,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0.074508108,0.047893016,4,22,26,Warm
1476,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_1,TEMP2069A,Longevity,Adult lifespan,Female,22,0.008709426,0.079659283,6,22,28,Warm
1449,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,3.292956264,0.342255037,-12,22,10,Cool
1453,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,0.698061734,0.066488276,-8,22,14,Cool
1457,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,0.852501388,0.075612715,-4,22,18,Cool
1465,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,0,0,0,22,22,Reference
1471,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,0.100006703,0.045279765,4,22,26,Warm
1477,Good,TEMP2069,1792,34,16B,"Tochen, S.et al.",2014,Temperature-Related Development and Population Parameters for Drosophila suzukii (Diptera: Drosophilidae) on Cherry and Blueberry,10.1603/EN13200,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2069_4,TEMP2069B,Longevity,Adult lifespan,Female,22,0.120900129,0.07714363,6,22,28,Warm
1104,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,2.159155309,0.379498657,-8.8,25.3,16.5,Cool
1106,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,0.885238122,0.227924497,-6.1,25.3,19.2,Cool
1108,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,0.183718836,0.155410993,-3.2,25.3,22.1,Cool
1110,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,0,0,0,25.3,25.3,Reference
1112,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,-1.294781766,0.181045552,3.1,25.3,28.4,Warm
1114,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,-1.980885148,0.222664925,6.1,25.3,31.4,Warm
1116,Good,TEMP2070,1793,34,15A,"Tokuda, M.; Matsumura, M. m. m.",2005,Effect of temperature on the development and reproduction of the maize orange leafhopper Cicadulina bipunctata (Melichar) (Homoptera : Cicadellidae,10.1303/aez.2005.213,Cicadulina bipunctata,Cicadellidae,Insecta,Arthropoda,Female,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2070_2,TEMP2070A,Longevity,Longevity,Female,24.8,-3.123019849,0.319998565,8.7,25.3,34,Warm
1858,Good,TEMP2079,1801,35,15A,"Tsoukanas, V. I.et al.",2006,Temperature-dependent development and life table of Iphiseius degenerans (Acari : Phytoseiidae),10.1603/0046-225X-35.2.212,Iphiseius degenerans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2079_2,TEMP2079A,Longevity,Longevity,Female,25,2.246056673,0.14245351,-10,25,15,Cool
1860,Good,TEMP2079,1801,35,15A,"Tsoukanas, V. I.et al.",2006,Temperature-dependent development and life table of Iphiseius degenerans (Acari : Phytoseiidae),10.1603/0046-225X-35.2.212,Iphiseius degenerans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2079_2,TEMP2079A,Longevity,Longevity,Female,25,0.520435438,0.163244376,-5,25,20,Cool
1862,Good,TEMP2079,1801,35,15A,"Tsoukanas, V. I.et al.",2006,Temperature-dependent development and life table of Iphiseius degenerans (Acari : Phytoseiidae),10.1603/0046-225X-35.2.212,Iphiseius degenerans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2079_2,TEMP2079A,Longevity,Longevity,Female,25,0,0,0,25,25,Reference
1864,Good,TEMP2079,1801,35,15A,"Tsoukanas, V. I.et al.",2006,Temperature-dependent development and life table of Iphiseius degenerans (Acari : Phytoseiidae),10.1603/0046-225X-35.2.212,Iphiseius degenerans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2079_2,TEMP2079A,Longevity,Longevity,Female,25,0.354675776,0.140493684,5,25,30,Warm
1866,Good,TEMP2079,1801,35,15A,"Tsoukanas, V. I.et al.",2006,Temperature-dependent development and life table of Iphiseius degenerans (Acari : Phytoseiidae),10.1603/0046-225X-35.2.212,Iphiseius degenerans,Phytoseiidae,Arachnida,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2079_2,TEMP2079A,Longevity,Longevity,Female,25,-2.864402682,0.245200988,7.5,25,32.5,Warm
730,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_1,TEMP2081A,Longevity,Longevity (days),Both,30,1.483532114,0.159388555,-10,30,20,Cool
744,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_1,TEMP2081A,Longevity,Longevity (days),Both,30,0,0,0,30,30,Reference
732,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_3,TEMP2081B,Longevity,Longevity (days),Both,30,1.518873268,0.172378172,-10,30,20,Cool
746,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_3,TEMP2081B,Longevity,Longevity (days),Both,30,0,0,0,30,30,Reference
734,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_5,TEMP2081C,Longevity,Longevity (days),Both,30,1.255147246,0.160185148,-10,30,20,Cool
748,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_5,TEMP2081C,Longevity,Longevity (days),Both,30,0,0,0,30,30,Reference
736,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_7,TEMP2081D,Longevity,Longevity (days),Both,30,1.37164609,0.156381205,-10,30,20,Cool
750,Good,TEMP2081,1803,35,16B,"Tsueda, H.; Tsuchida, K. m. d.",2011,"Reproductive differences between Q and B whiteflies, Bemisia tabaci, on three host plants and negative interactions in mixed cohorts",10.1111/j.1570-7458.2011.01189.x,Bemisia tabaci,Aleyrodidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2081_7,TEMP2081D,Longevity,Longevity (days),Both,30,0,0,0,30,30,Reference
958,Good,TEMP2083,1804,35,16B,"TUDA, M.; SHIMADA, M. m. a.",1995,DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES,10.1007/BF00328616,Callosobruchus chinensis,Chrysomelidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2083_1,TEMP2083A,Longevity,Longevity,Female,30,0,0,0,30,30,Reference
960,Good,TEMP2083,1804,35,16B,"TUDA, M.; SHIMADA, M. m. a.",1995,DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES,10.1007/BF00328616,Callosobruchus chinensis,Chrysomelidae,Insecta,Arthropoda,Both,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2083_1,TEMP2083A,Longevity,Longevity,Female,30,0.196190366,0.068142284,2,30,32,Warm
1791,Good,TEMP2083,1804,35,16B,"TUDA, M.; SHIMADA, M. m. a.",1995,DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES,10.1007/BF00328616,Heterospilus prosopidis,Ichneumonoidea,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2083_4,TEMP2083B,Longevity,Longevity,Female,30,0,0,0,30,30,Reference
1793,Good,TEMP2083,1804,35,16B,"TUDA, M.; SHIMADA, M. m. a.",1995,DEVELOPMENTAL SCHEDULES AND PERSISTENCE OF EXPERIMENTAL HOST-PARASITOID SYSTEMS AT 2 DIFFERENT TEMPERATURES,10.1007/BF00328616,Heterospilus prosopidis,Ichneumonoidea,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2083_4,TEMP2083B,Longevity,Longevity,Female,30,-0.674016763,0.150969618,2,30,32,Warm
1048,Good,TEMP2085,1805,35,16B,"Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella",10.3906/tar-0907-262,Chelonus oculator,Braconidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2085_1,TEMP2085A,Longevity,Longevity,Female,NA,-1.562849043,0.215516609,-10,25,15,Cool
1050,Good,TEMP2085,1805,35,16B,"Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella",10.3906/tar-0907-262,Chelonus oculator,Braconidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2085_1,TEMP2085A,Longevity,Longevity,Female,NA,1.031988931,0.274180706,-5,25,20,Cool
1052,Good,TEMP2085,1805,35,16B,"Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella",10.3906/tar-0907-262,Chelonus oculator,Braconidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2085_1,TEMP2085A,Longevity,Longevity,Female,NA,0,0,0,25,25,Reference
1054,Good,TEMP2085,1805,35,16B,"Tunca, H.et al.",2010,"Temperature dependent development of the egg-larval parasitoid Chelonus oculator on the factitious host, Ephestia cautella",10.3906/tar-0907-262,Chelonus oculator,Braconidae,Insecta,Arthropoda,Both,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2085_1,TEMP2085A,Longevity,Longevity,Female,NA,-2.803058383,0.347730388,5,25,30,Warm
912,Good,TEMP2094,1814,35,15A,"Ullah, M. S.et al.",2019,Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae),10.1093/jee/toz294,Bryobia praetiosa,Tetranychidae,Arachnida,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2094_1,TEMP2094A,Longevity,Longevity,Parthenogenetic,25,4.62722464,0.204015896,-10,25,15,Cool
914,Good,TEMP2094,1814,35,15A,"Ullah, M. S.et al.",2019,Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae),10.1093/jee/toz294,Bryobia praetiosa,Tetranychidae,Arachnida,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2094_1,TEMP2094A,Longevity,Longevity,Parthenogenetic,25,1.754780661,0.05599297,-5,25,20,Cool
916,Good,TEMP2094,1814,35,15A,"Ullah, M. S.et al.",2019,Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae),10.1093/jee/toz294,Bryobia praetiosa,Tetranychidae,Arachnida,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2094_1,TEMP2094A,Longevity,Longevity,Parthenogenetic,25,0,0,0,25,25,Reference
918,Good,TEMP2094,1814,35,15A,"Ullah, M. S.et al.",2019,Effects of Temperature on Demographic Parameters of Bryobia praetiosa (Acari: Tetranychidae),10.1093/jee/toz294,Bryobia praetiosa,Tetranychidae,Arachnida,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,TEMP2094_1,TEMP2094A,Longevity,Longevity,Parthenogenetic,25,-2.127406813,0.082377225,5,25,30,Warm
1128,Good,TEMP2096,1816,35,16B,"Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)",10.1006/bcon.2001.0944,Cirrospilus sp. near lyncus,Eulophidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2096_1,TEMP2096A,Longevity,Longevity,Both,25,1.003877576,0.218438973,-10,25,15,Cool
1130,Good,TEMP2096,1816,35,16B,"Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)",10.1006/bcon.2001.0944,Cirrospilus sp. near lyncus,Eulophidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2096_1,TEMP2096A,Longevity,Longevity,Both,25,0.903201281,0.19197661,-5,25,20,Cool
1132,Good,TEMP2096,1816,35,16B,"Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)",10.1006/bcon.2001.0944,Cirrospilus sp. near lyncus,Eulophidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2096_1,TEMP2096A,Longevity,Longevity,Both,25,0,0,0,25,25,Reference
1134,Good,TEMP2096,1816,35,16B,"Urbaneja, A.et al.",2001,"Effect of temperature on the life history of Cirrospilus sp near lyncus (Hymenoptera : Eulophidae), a parasitoid of Phyllocnistis citrella (Lepidoptera : Gracillariidae)",10.1006/bcon.2001.0944,Cirrospilus sp. near lyncus,Eulophidae,Insecta,Arthropoda,Female,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,TEMP2096_1,TEMP2096A,Longevity,Longevity,Both,25,-0.541470128,0.18999674,5,25,30,Warm
