species_latin,family,class,phylum,original_name,resolved_name,temporary_name,thermoregulation,mobility,reproductive_mode,fertilisation_mode,agricultural_importance,habitat1,habitat2
Cirrospilus_lyncus,Eulophidae,Insecta,Arthropoda,Cirrospilus_lyncus,cirrospilus_lyncus,cirrospilus_lyncus,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cladocroce_caelum,Chalinidae,Porifera,Porifera,Cladocroce_caelum,cladocroce_caelum,cladocroce_caelum,Ectotherm,Sessile,Sexual,External,No,Aquatic,Marine
Clavigralla_shadabi,Coreidae,Insecta,Arthropoda,Clavigralla_shadabi,clavigralla_shadabi,clavigralla_shadabi,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Clavigralla_tomentosicollis,Coreidae,Insecta,Arthropoda,Clavigralla_tomentosicollis,clavigralla_tomentosicollis,clavigralla_tomentosicollis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Clitostethus_arcuatus,Coccinellidae,Insecta,Arthropoda,Clitostethus_arcuatus,clitostethus_arcuatus,clitostethus_arcuatus,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Clupea_harengus,Clupeidae,Actinopterygii,Chordata,Clupea_harengus,clupea_harengus,clupea_harengus,Ectotherm,Mobile,Sexual,External,Food,Aquatic,Marine
Cnaphalocrocis_exigua,Crambidae,Insecta,Arthropoda,Cnaphalocrocis_exigua,cnaphalocrocis_exigua,cnaphalocrocis_exigua,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cnaphalocrocis_medinalis,Crambidae,Insecta,Arthropoda,Cnaphalocrocis_medinalis,cnaphalocrocis_medinalis,cnaphalocrocis_medinalis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cnephasia_jactatana,Tortricidae,Insecta,Arthropoda,Cnephasia_jactatana,cnephasia_jactatana,cnephasia_jactatana,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Cochliomyia_hominivorax,Calliphoridae,Insecta,Arthropoda,Cochliomyia_hominivorax,cochliomyia_hominivorax,cochliomyia_hominivorax,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Coenagrion_mercuriale,Coenagrionidae,Insecta,Arthropoda,Coenagrion_mercuriale,coenagrion_mercuriale,coenagrion_mercuriale,Ectotherm,Mobile,Sexual,Internal,No,Both,Freshwater
Coenonympha_pamphilus,Nymphalidae,Insecta,Arthropoda,Coenonympha_pamphilus,coenonympha_pamphilus,coenonympha_pamphilus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Coleomegilla_maculata,Coccinellidae,Insecta,Arthropoda,Coleomegilla_maculata,coleomegilla_maculata,coleomegilla_maculata,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Colossoma_macropomum,Serrasalmidae,Actinopterygii,Chordata,Colossoma_macropomum,colossoma_macropomum,colossoma_macropomum,Ectotherm,Mobile,Sexual,External,Farmed,Aquatic,Freshwater
Columba_livia,Columbidae,Aves,Chordata,Columba_livia,columba_livia,columba_livia,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Copitarsia_decolora,Noctuidae,Insecta,Arthropoda,Copitarsia_decolora,copitarsia_decolora,copitarsia_decolora,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cordylochernes_scorpioides,Chernetidae,Arachnida,Arthropoda,Cordylochernes_scorpioides,cordylochernes_scorpioides,cordylochernes_scorpioides,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Cornu_aspersum,Helicidae,Mollusca,Mollusca,Cornu_aspersum,cornu_aspersum,cornu_aspersum,Ectotherm,Mobile,Hermaphrodite,Internal,Pest,Terrestrial,Terrestrial
Corophium_multisetosum,Corophiidae,Crustacea,Arthropoda,Corophium_multisetosum,corophium_multisetosum,corophium_multisetosum,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Corvus_cornix,Corvidae,Aves,Chordata,Corvus_cornix,corvus_cornix,corvus_cornix,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Corythoichthys_haematopterus,Syngnathidae,Actinopterygii,Chordata,Corythoichthys_haematopterus,corythoichthys_haematopterus,corythoichthys_haematopterus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Corythucha_ciliata,Tingidae,Insecta,Arthropoda,Corythucha_ciliata,corythucha_ciliata,corythucha_ciliata,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Corythucha_gossypii,Tingidae,Insecta,Arthropoda,Corythucha_gossypii,corythucha_gossypii,corythucha_gossypii,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cosmocomoidea_ashmeadi,Mymaridae,Insecta,Arthropoda,Cosmocomoidea_ashmeadi,gonatocerus_ashmeadi,Cosmocomoidea_ashmeadi,Ectotherm,Mobile,Sexual,Internal,Control agent,Both,Freshwater
Cosmocomoidea_triguttata,Mymaridae,Insecta,Arthropoda,Cosmocomoidea_triguttata,gonatocerus_triguttatus,Cosmocomoidea_triguttata,Ectotherm,Mobile,Sexual,Internal,Control agent,Both,Freshwater
Cotesia_flavipes,Braconidae,Insecta,Arthropoda,Cotesia_flavipes,cotesia_flavipes,cotesia_flavipes,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cotesia_marginiventris,Braconidae,Insecta,Arthropoda,Cotesia_marginiventris,cotesia_marginiventris,cotesia_marginiventris,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cotesia_orobenae,Braconidae,Insecta,Arthropoda,Cotesia_orobenae,cotesia_orobenae,cotesia_orobenae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cottus_gobio,Cottidae,Actinopterygii,Chordata,Cottus_gobio,cottus_gobio,cottus_gobio,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Cottus_pollux,Cottidae,Actinopterygii,Chordata,Cottus_pollux,cottus_pollux,cottus_pollux,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Coturnix_japonica,Phasianidae,Aves,Chordata,Coturnix_japonica,coturnix_japonica,coturnix_japonica,Endotherm,Mobile,Sexual,Internal,Farmed,Terrestrial,Terrestrial
Crassostrea_virginica,Ostreidae,Mollusca,Mollusca,Crassostrea_virginica,crassostrea_virginica,crassostrea_virginica,Ectotherm,Sessile,Sexual,External,Food,Aquatic,Marine
Creontiades_dilutus,Miridae,Insecta,Arthropoda,Creontiades_dilutus,creontiades_dilutus,creontiades_dilutus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Crepidula_fornicata,Calyptraeidae,Mollusca,Mollusca,Crepidula_fornicata,crepidula_fornicata,crepidula_fornicata,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Crepidula_incurva,Calyptraeidae,Mollusca,Mollusca,Crepidula_incurva,crepidula_incurva,crepidula_incurva,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Crepidula_marginalis,Calyptraeidae,Mollusca,Mollusca,Crepidula_marginalis,crepidula_marginalis,crepidula_marginalis,Ectotherm,Mobile,Hermaphrodite,Internal,No,Aquatic,Marine
Crepidula_onyx,Calyptraeidae,Mollusca,Mollusca,Crepidula_onyx,crepidula_onyx,crepidula_onyx,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Crinia_signifera,Myobatrachidae,Amphibia,Chordata,Crinia_signifera,crinia_signifera,crinia_signifera,Ectotherm,Mobile,Sexual,External,No,Both,Freshwater
Crocidosema_plebejana,Tortricidae,Insecta,Arthropoda,Crocidosema_plebejana,crocidosema_plebejana,crocidosema_plebejana,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cryptolaemus_montrouzieri,Coccinellidae,Insecta,Arthropoda,Cryptolaemus_montrouzieri,cryptolaemus_montrouzieri,cryptolaemus_montrouzieri,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cryptolestes_ferrugineus,Laemophloeidae,Insecta,Arthropoda,Cryptolestes_ferrugineus,cryptolestes_ferrugineus,cryptolestes_ferrugineus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cryptophlebia_illepida,Tortricidae,Insecta,Arthropoda,Cryptophlebia_illepida,cryptophlebia_illepida,cryptophlebia_illepida,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Ctenocephalides_felis,Pulicidae,Insecta,Arthropoda,Ctenocephalides_felis,ctenocephalides_felis,Ctenocephalides_canis,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Ctenophorus_decresii,Agamidae,Reptilia,Chordata,Ctenophorus_decresii,ctenophorus_decresii,ctenophorus_decresii,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Culex_pipiens,Culicidae,Insecta,Arthropoda,Culex_pipiens,culex_pipiens,culex_pipiens,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Culex_quinquefasciatus,Culicidae,Insecta,Arthropoda,Culex_quinquefasciatus,culex_quinquefasciatus,culex_quinquefasciatus,Ectotherm,Mobile,Sexual,Internal,Vector,Both,Freshwater
Culicoides_impunctatus,Ceratopogonidae,Insecta,Arthropoda,Culicoides_impunctatus,culicoides_impunctatus,Culicoides_africanus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Culicoides_variipennis,Ceratopogonidae,Insecta,Arthropoda,Culicoides_variipennis,culicoides_variipennis,culicoides_variipennis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cuthona,Cuthonidae,Mollusca,Mollusca,Cuthona,cuthona,cuthona,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Cyanerpes_caeruleus,Paridae,Aves,Chordata,Cyanerpes_caeruleus,cyanerpes_caeruleus,cyanerpes_caeruleus,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Cyanistes_caeruleus,Paridae,Aves,Chordata,Cyanistes_caeruleus,cyanistes_caeruleus,Cyanistes_caeruleus_caeruleus,Endotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Cyclops_vicinus,Cyclopidae,Crustacea,Arthropoda,Cyclops_vicinus,cyclops_vicinus,cyclops_vicinus,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Cyclopterus_lumpus,Cyclopteridae,Actinopterygii,Chordata,Cyclopterus_lumpus,cyclopterus_lumpus,cyclopterus_lumpus,Ectotherm,Mobile,Sexual,External,Control agent,Aquatic,Marine
Cydia_pomonella,Tortricidae,Insecta,Arthropoda,Cydia_pomonella,cydia_pomonella,cydia_pomonella,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Cydnoseius_negevi,Phytoseiidae,Arachnida,Arthropoda,Cydnoseius_negevi,cydnoseius_negevi,cydnoseius_negevi,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Cynops_pyrrhogaster,Salamandridae,Amphibia,Chordata,Cynops_pyrrhogaster,cynops_pyrrhogaster,cynops_pyrrhogaster,Ectotherm,Mobile,Sexual,Internal,No,Both,Freshwater
Cyprinus_carpio,Cyprinidae,Actinopterygii,Chordata,Cyprinus_carpio,cyprinus_carpio,Cyprinus_carpio_carpio,Ectotherm,Mobile,Sexual,External,Farmed,Aquatic,Freshwater
Danio_rerio,Cyprinidae,Actinopterygii,Chordata,Danio_rerio,danio_rerio,danio_rerio,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Daphnia_ambigua,Daphniidae,Crustacea,Arthropoda,Daphnia_ambigua,daphnia_ambigua,daphnia_ambigua,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_australis,Daphniidae,Crustacea,Arthropoda,Daphnia_australis,daphniopsis_australis,Daphnia_australis,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Salt
Daphnia_dentifera,Daphniidae,Crustacea,Arthropoda,Daphnia_dentifera,daphnia_dentifera,daphnia_dentifera,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_galeata,Daphniidae,Crustacea,Arthropoda,Daphnia_galeata,daphnia_galeata,daphnia_galeata,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_longispina,Daphniidae,Crustacea,Arthropoda,Daphnia_longispina,daphnia_longispina,daphnia_longispina,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_lumholtzi,Daphniidae,Crustacea,Arthropoda,Daphnia_lumholtzi,daphnia_lumholtzi,Daphnia_lumholtzi,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_magna,Daphniidae,Crustacea,Arthropoda,Daphnia_magna,daphnia_magna,daphnia_magna,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_mendotae,Daphniidae,Crustacea,Arthropoda,Daphnia_mendotae,daphnia_mendotae,daphnia_mendotae,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_obtusa,Daphniidae,Crustacea,Arthropoda,Daphnia_obtusa,daphnia_obtusa,daphnia_obtusa,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_pulex,Daphniidae,Crustacea,Arthropoda,Daphnia_pulex,daphnia_pulex,daphnia_pulex,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Daphnia_pulicaria,Daphniidae,Crustacea,Arthropoda,Daphnia_pulicaria,daphnia_pulicaria,daphnia_pulicaria,Ectotherm,Mobile,Parthenogenetic,NA,No,Aquatic,Freshwater
Dasyhippus_barbipes,Acrididae,Insecta,Arthropoda,Dasyhippus_barbipes,dasyhippus_barbipes,dasyhippus_barbipes,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Dasyses_rugosella,Tineidae,Insecta,Arthropoda,Dasyses_rugosella,dasyses_rugosella,dasyses_rugosella,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Delia_radicum,Anthomyiidae,Insecta,Arthropoda,Delia_radicum,delia_radicum,delia_radicum,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Delphastus_catalinae,Coccinellidae,Insecta,Arthropoda,Delphastus_catalinae,delphastus_catalinae,delphastus_catalinae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Deraeocoris_brevis,Miridae,Insecta,Arthropoda,Deraeocoris_brevis,deraeocoris_brevis,deraeocoris_brevis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Dermestes_haemorrhoidalis,Dermestidae,Insecta,Arthropoda,Dermestes_haemorrhoidalis,dermestes_haemorrhoidalis,dermestes_haemorrhoidalis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Dermestes_lardarius,Dermestidae,Insecta,Arthropoda,Dermestes_lardarius,dermestes_lardarius,dermestes_lardarius,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Dermestes_peruvianus,Dermestidae,Insecta,Arthropoda,Dermestes_peruvianus,dermestes_peruvianus,dermestes_peruvianus,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Dermochelys_coriacea,Dermochelyidae,Reptilia,Chordata,Dermochelys_coriacea,dermochelys_coriacea,dermochelys_coriacea,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Desmapsamma_anchorata,Desmacididae,Porifera,Porifera,Desmapsamma_anchorata,desmapsamma_anchorata,desmapsamma_anchorata,Ectotherm,Sessile,Sexual,External,No,Aquatic,Marine
Diachasmimorpha_longicaudata,Braconidae,Insecta,Arthropoda,Diachasmimorpha_longicaudata,diachasmimorpha_longicaudata,diachasmimorpha_longicaudata,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Diadegma_mollipla,Ichneumonidae,Insecta,Arthropoda,Diadegma_mollipla,diadegma_mollipla,diadegma_mollipla,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Diadumene_lineata,Diadumenidae,Cnideria,Cnideria,Diadumene_lineata,diadumene_lineata,diadumene_lineata,Ectotherm,Sessile,Parthenogenetic,NA,No,Aquatic,Marine
Diaeretiella_rapae,Braconidae,Insecta,Arthropoda,Diaeretiella_rapae,diaeretiella_rapae,diaeretiella_rapae,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Diaphania_nitidalis,Crambidae,Insecta,Arthropoda,Diaphania_nitidalis,diaphania_nitidalis,diaphania_nitidalis,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Diaphanosoma_brachyurum,Sididae,Crustacea,Arthropoda,Diaphanosoma_brachyurum,diaphanosoma_brachyurum,Diaphanosoma_brachyurum,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaphanosoma_chilense,Sididae,Crustacea,Arthropoda,Diaphanosoma_chilense,diaphanosoma_chilense,diaphanosoma_chilense,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaphanosoma_dubium,Sididae,Crustacea,Arthropoda,Diaphanosoma_dubium,diaphanosoma_dubium,diaphanosoma_dubium,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaphanosoma_excisum,Sididae,Crustacea,Arthropoda,Diaphanosoma_excisum,diaphanosoma_excisum,diaphanosoma_excisum,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaphorina_citri,Liviidae,Insecta,Arthropoda,Diaphorina_citri,diaphorina_citri,diaphorina_citri,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Diaptomus_minutus,Diaptomidae,Crustacea,Arthropoda,Diaptomus_minutus,diaptomus_minutus,Diaptomus_acutilobatus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaptomus_oregonensis,Diaptomidae,Crustacea,Arthropoda,Diaptomus_oregonensis,diaptomus_oregonensis,Diaptomus_affinis,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diaptomus_pallidus,Diaptomidae,Crustacea,Arthropoda,Diaptomus_pallidus,diaptomus_pallidus,Diaptomus_armatus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Freshwater
Diatraea_lineolata,Crambidae,Insecta,Arthropoda,Diatraea_lineolata,diatraea_lineolata,diatraea_lineolata,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
Dichochrysa_prasina,Chrysopidae,Insecta,Arthropoda,Dichochrysa_prasina,dichochrysa_prasina,Pseudomallada_prasinus,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Dicologlossa_cuneata,Soleidae,Actinopterygii,Chordata,Dicologlossa_cuneata,<U+FEFF>dicologlossa_cuneata,Dicologlossa_cuneata,Ectotherm,Mobile,Sexual,External,No,Aquatic,Marine
Diglyphus_intermedius,Eulophidae,Insecta,Arthropoda,Diglyphus_intermedius,diglyphus_intermedius,Diglyphus_isaea,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Dinarmus_basalis,Pteromalidae,Insecta,Arthropoda,Dinarmus_basalis,dinarmus_basalis,dinarmus_basalis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Dinophilus_gyrociliatus,Dinophilidae,Annelida,Annelida,Dinophilus_gyrociliatus,dinophilus_gyrociliatus,dinophilus_gyrociliatus,Ectotherm,Mobile,Sexual,Internal,No,Aquatic,Marine
Diorhabda_carinulata,Chrysomelidae,Insecta,Arthropoda,Diorhabda_carinulata,diorhabda_carinulata,diorhabda_carinulata,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Diplolaimelloides_meyli,Rhabditidae,Nematoda,Nematoda,Diplolaimelloides_meyli,diplolaimelloides_meyli,diplolaimelloides_meyli,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Diplolepis_spinosa,Cynipidae,Insecta,Arthropoda,Diplolepis_spinosa,diplolepis_spinosa,diplolepis_spinosa,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Diplolepis_variabilis,Cynipidae,Insecta,Arthropoda,Diplolepis_variabilis,diplolepis_variabilis,diplolepis_polita,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Diploria_strigosa,Mussidae,Cnideria,Cnideria,Diploria_strigosa,diploria_strigosa,Diploria_labyrinthiformis,Ectotherm,Sessile,Hermaphrodite,External,No,Aquatic,Marine
Diuraphis_noxia,Aphididae,Insecta,Arthropoda,Diuraphis_noxia,diuraphis_noxia,diuraphis_noxia,Ectotherm,Mobile,Parthenogenetic,NA,Pest,Terrestrial,Terrestrial
Doryctobracon_brasiliensis,Braconidae,Insecta,Arthropoda,Doryctobracon_brasiliensis,doryctobracon_brasiliensis,doryctobracon_brasiliensis,Ectotherm,Mobile,Sexual,Internal,Control agent,Terrestrial,Terrestrial
Dreissena_polymorpha,Dreissenidae,Mollusca,Mollusca,Dreissena_polymorpha,dreissena_polymorpha,dreissena_polymorpha,Ectotherm,Mobile,Sexual,External,No,Aquatic,Freshwater
Drosophila_americana,Drosophilidae,Insecta,Arthropoda,Drosophila_americana,drosophila_americana,Drosophila_americana_americana,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_ananassae,Drosophilidae,Insecta,Arthropoda,Drosophila_ananassae,drosophila_ananassae,drosophila_ananassae,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_arizonae,Drosophilidae,Insecta,Arthropoda,Drosophila_arizonae,drosophila_arizonensis,Drosophila_arizonae,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_bipectinata,Drosophilidae,Insecta,Arthropoda,Drosophila_bipectinata,drosophila_bipectinata,drosophila_bipectinata,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_birchii,Drosophilidae,Insecta,Arthropoda,Drosophila_birchii,drosophila_birchii,drosophila_birchii,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_borborema,Drosophilidae,Insecta,Arthropoda,Drosophila_borborema,drosophila_borborema,drosophila_borborema,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_bunnanda,Drosophilidae,Insecta,Arthropoda,Drosophila_bunnanda,drosophila_bunnanda,drosophila_bunnanda,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_busckii,Drosophilidae,Insecta,Arthropoda,Drosophila_busckii,drosophila_busckii,drosophila_busckii,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_buzzatii,Drosophilidae,Insecta,Arthropoda,Drosophila_buzzatii,drosophila_buzzatii,drosophila_buzzatii,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_gaucha,Drosophilidae,Insecta,Arthropoda,Drosophila_gaucha,drosophila_gaucha,drosophila_gaucha,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_hydei,Drosophilidae,Insecta,Arthropoda,Drosophila_hydei,drosophila_hydei,Drosophila_eohydei,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_koepferae,Drosophilidae,Insecta,Arthropoda,Drosophila_koepferae,drosophila_koepferae,drosophila_koepferae,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_melanogaster,Drosophilidae,Insecta,Arthropoda,Drosophila_melanogaster,drosophila_melanogaster,Drosophila_erecta,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_milleri,Drosophilidae,Insecta,Arthropoda,Drosophila_milleri,drosophila_milleri,drosophila_milleri,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_mojavensis,Drosophilidae,Insecta,Arthropoda,Drosophila_mojavensis,drosophila_mojavensis,Drosophila_mojavensis_baja,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_montana,Drosophilidae,Insecta,Arthropoda,Drosophila_montana,drosophila_montana,drosophila_montana,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_nasuta,Drosophilidae,Insecta,Arthropoda,Drosophila_nasuta,drosophila_nasuta,drosophila_nasuta,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_nepalensis,Drosophilidae,Insecta,Arthropoda,Drosophila_nepalensis,drosophila_nepalensis,drosophila_nepalensis,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_nigrospiracula,Drosophilidae,Insecta,Arthropoda,Drosophila_nigrospiracula,drosophila_nigrospiracula,drosophila_nigrospiracula,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_paulistorum,Drosophilidae,Insecta,Arthropoda,Drosophila_paulistorum,drosophila_paulistorum,drosophila_paulistorum,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_pavani,Drosophilidae,Insecta,Arthropoda,Drosophila_pavani,drosophila_pavani,drosophila_pavani,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_pseudoananassae,Drosophilidae,Insecta,Arthropoda,Drosophila_pseudoananassae,drosophila_pseudoananassae,drosophila_pseudoananassae,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_pseudoobscura,Drosophilidae,Insecta,Arthropoda,Drosophila_pseudoobscura,drosophila_pseudoobscura,Drosophila_pseudoobscura_pseudoobscura,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_repleta,Drosophilidae,Insecta,Arthropoda,Drosophila_repleta,drosophila_repleta,drosophila_repleta,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_robusta,Drosophilidae,Insecta,Arthropoda,Drosophila_robusta,drosophila_robusta,drosophila_robusta,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_silvestris,Drosophilidae,Insecta,Arthropoda,Drosophila_silvestris,drosophila_silvestris,drosophila_silvestris,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_simulans,Drosophilidae,Insecta,Arthropoda,Drosophila_simulans,drosophila_simulans,drosophila_simulans,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_sproati,Drosophilidae,Insecta,Arthropoda,Drosophila_sproati,drosophila_sproati,drosophila_sproati,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_subobscura,Drosophilidae,Insecta,Arthropoda,Drosophila_subobscura,drosophila_subobscura,Drosophila_guanche,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_sulfurigaster,Drosophilidae,Insecta,Arthropoda,Drosophila_sulfurigaster,drosophila_sulfurigaster,drosophila_pulaua,Ectotherm,Mobile,Sexual,Internal,No,Terrestrial,Terrestrial
Drosophila_suzukii,Drosophilidae,Insecta,Arthropoda,Drosophila_suzukii,drosophila_suzukii,drosophila_suzukii,Ectotherm,Mobile,Sexual,Internal,Pest,Terrestrial,Terrestrial
