"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Shared.Longevity.","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"435","Good","TEMP1177",1044,19,"11","Lombaert, E.et al.",2008,"Phenotypic variation in invasive and biocontrol populations of the harlequin ladybird, Harmonia axyridis","10.1007/s10526-007-9131-z","Harmonia axyridis","Coccinellidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1177C","Female","Yes",20,12,18,30,"Warm",0.158379509,0.066875701,-3.329855971,0.159066173
"436","Good","TEMP1177",1044,19,"11","Lombaert, E.et al.",2008,"Phenotypic variation in invasive and biocontrol populations of the harlequin ladybird, Harmonia axyridis","10.1007/s10526-007-9131-z","Harmonia axyridis","Coccinellidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1177D","Female","Yes",20,6,18,24,"Warm",0.659645292,0.070292766,-2.80104624,0.132048834
"437","Good","TEMP1177",1044,19,"11","Lombaert, E.et al.",2008,"Phenotypic variation in invasive and biocontrol populations of the harlequin ladybird, Harmonia axyridis","10.1007/s10526-007-9131-z","Harmonia axyridis","Coccinellidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1177D","Female","Yes",20,12,18,30,"Warm",0.211164482,0.067038254,-3.59843547,0.174572815
"486","Good","TEMP1214",1072,20,"9B","Ma, C.et al.",2004,"Effects of pattern and timing of high temperature exposure on reproduction of the rose grain aphid, Metopolophium dirhodum","10.1111/j.0013-8703.2004.00123.x","Metopolophium dirhodum","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"1 to 5 days","Mix","No","Constant","No","TEMP1214A","Female","Female",20,2,27,29,"Warm",-0.27638132,0.067394965,-2.766298127,0.13962757
"487","Good","TEMP1214",1072,20,"9B","Ma, C.et al.",2004,"Effects of pattern and timing of high temperature exposure on reproduction of the rose grain aphid, Metopolophium dirhodum","10.1111/j.0013-8703.2004.00123.x","Metopolophium dirhodum","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"1 to 5 days","Mix","No","Constant","No","TEMP1214A","Female","Female",20,4,27,31,"Warm",-0.406197733,0.068239806,-0.488925398,0.06894584
"488","Good","TEMP1214",1072,20,"9B","Ma, C.et al.",2004,"Effects of pattern and timing of high temperature exposure on reproduction of the rose grain aphid, Metopolophium dirhodum","10.1111/j.0013-8703.2004.00123.x","Metopolophium dirhodum","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"1 to 5 days","Mix","No","Constant","No","TEMP1214A","Female","Female",20,6,27,33,"Warm",-2.244391659,0.114694117,-1.244995204,0.081445073
"489","Good","TEMP122",194,2,"25B","Aysal, T.; Kivan, M.",2008,"Development and population growth of Stephanitis pyri (F.) (Heteroptera : Tingidae) at five temperatures","10.1007/s10340-008-0198-9","Stephanitis pyri","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP122A","Female","Female",26,-6,26,20,"Cool",-0.322304486,0.081038802,1.688403109,0.108507051
"490","Good","TEMP122",194,2,"25B","Aysal, T.; Kivan, M.",2008,"Development and population growth of Stephanitis pyri (F.) (Heteroptera : Tingidae) at five temperatures","10.1007/s10340-008-0198-9","Stephanitis pyri","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP122A","Female","Female",26,-3,26,23,"Cool",-0.095539121,0.080091277,0.846004761,0.087157241
"491","Good","TEMP122",194,2,"25B","Aysal, T.; Kivan, M.",2008,"Development and population growth of Stephanitis pyri (F.) (Heteroptera : Tingidae) at five temperatures","10.1007/s10340-008-0198-9","Stephanitis pyri","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP122A","Female","Female",26,3,26,29,"Warm",-0.718858538,0.085167576,-0.62337697,0.083885988
"492","Good","TEMP122",194,2,"25B","Aysal, T.; Kivan, M.",2008,"Development and population growth of Stephanitis pyri (F.) (Heteroptera : Tingidae) at five temperatures","10.1007/s10340-008-0198-9","Stephanitis pyri","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP122A","Female","Female",26,6,26,32,"Warm",-2.510116231,0.143006835,-1.793891134,0.112180454
"493","Good","TEMP1238",1094,20,"9B","Malekmohammadi, A.et al.",2012,"Influence of constant temperatures on development, reproduction and life table parameters of Encarsia inaron (Hymenoptera: Aphelinidae) parasitizing Neomaskellia andropogonis (Hemiptera: Aleyrodidae)","10.1016/j.cropro.2011.12.006","Encarsia inaron","Aphelinidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1238A","Female","Female",20,5,20,25,"Warm",1.737972102,0.137756838,-1.559232592,0.109241149
"494","Good","TEMP1238",1094,20,"9B","Malekmohammadi, A.et al.",2012,"Influence of constant temperatures on development, reproduction and life table parameters of Encarsia inaron (Hymenoptera: Aphelinidae) parasitizing Neomaskellia andropogonis (Hemiptera: Aleyrodidae)","10.1016/j.cropro.2011.12.006","Encarsia inaron","Aphelinidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1238A","Female","Female",20,10,20,30,"Warm",-4.832983268,0.373522727,-4.277015844,0.26305685
"495","Good","TEMP1238",1094,20,"9B","Malekmohammadi, A.et al.",2012,"Influence of constant temperatures on development, reproduction and life table parameters of Encarsia inaron (Hymenoptera: Aphelinidae) parasitizing Neomaskellia andropogonis (Hemiptera: Aleyrodidae)","10.1016/j.cropro.2011.12.006","Encarsia inaron","Aphelinidae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1238A","Female","Female",20,12,20,32,"Warm",-6.215527103,0.668563483,-4.040811549,0.304252083
"496","Good","TEMP125",197,2,"25B","Azrag, A. G. A.et al.",2020,"Modelling the effect of temperature on the biology and demographic parameters of the African coffee white stem borer, Monochamus leuconotus (Pascoe) (Coleoptera: Cerambycidae)","10.1016/j.jtherbio.2020.102534","Monochamus leuconotus","Cerambycidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP125A","Female","Female",NA,-7,25,18,"Cool",-0.486269169,0.188552684,1.248484521,0.214997801
"497","Good","TEMP125",197,2,"25B","Azrag, A. G. A.et al.",2020,"Modelling the effect of temperature on the biology and demographic parameters of the African coffee white stem borer, Monochamus leuconotus (Pascoe) (Coleoptera: Cerambycidae)","10.1016/j.jtherbio.2020.102534","Monochamus leuconotus","Cerambycidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP125A","Female","Female",NA,-5,25,20,"Cool",0.087955769,0.114489602,1.134661636,0.132771328
"498","Good","TEMP125",197,2,"25B","Azrag, A. G. A.et al.",2020,"Modelling the effect of temperature on the biology and demographic parameters of the African coffee white stem borer, Monochamus leuconotus (Pascoe) (Coleoptera: Cerambycidae)","10.1016/j.jtherbio.2020.102534","Monochamus leuconotus","Cerambycidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP125A","Female","Female",NA,-2,25,23,"Cool",0.333773651,0.123011482,0.729500698,0.129386731
"499","Good","TEMP125",197,2,"25B","Azrag, A. G. A.et al.",2020,"Modelling the effect of temperature on the biology and demographic parameters of the African coffee white stem borer, Monochamus leuconotus (Pascoe) (Coleoptera: Cerambycidae)","10.1016/j.jtherbio.2020.102534","Monochamus leuconotus","Cerambycidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP125A","Female","Female",NA,5,25,30,"Warm",-0.708287307,0.168113731,-1.216879617,0.186245678
"514","Good","TEMP1267",1119,21,"C","Martinez-Jeronimo, F.; Ventura-Lopez, C.",2011,"Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature",NA,"Ceriodaphnia rigaudi","Daphniidae","Crustacea","Arthropoda","Parthenogenetic","Internal","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1267_A","Female","Female",NA,-5,25,20,"Cool",-0.548346749,0.207517104,1.724293437,0.274329696
"515","Good","TEMP1267",1119,21,"C","Martinez-Jeronimo, F.; Ventura-Lopez, C.",2011,"Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature",NA,"Ceriodaphnia rigaudi","Daphniidae","Crustacea","Arthropoda","Parthenogenetic","Internal","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1267_B","Female","Female",NA,-5,25,20,"Cool",-0.950251363,0.222574441,2.027337486,0.302752432
"516","Good","TEMP1267",1119,21,"C","Martinez-Jeronimo, F.; Ventura-Lopez, C.",2011,"Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature",NA,"Ceriodaphnia rigaudi","Daphniidae","Crustacea","Arthropoda","Parthenogenetic","Internal","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1267_C","Female","Female",NA,-5,25,20,"Cool",-0.746964213,0.213948888,1.924380637,0.292581021
"517","Good","TEMP1275",1123,21,"9B","Matadha, D.et al.",2004,"Effect of temperature on development, fecundity, and life table parameters of Encarsia citrina Craw (Hymenoptera : Aphelinidae), a parasitoid of Euonymus scale, Unaspis euonymi (Comstock), and Quadraspidiotus perniciosus (Comstock) (Homoptera : Diaspididae)","10.1603/0046-225X-33.5.1185","Encarsia citrina","Aphelinidae","Insecta","Arthropoda","Unsure","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP1275A","Female","Female",25,-7.5,25,17.5,"Cool",-2.844990547,0.175596996,1.863419903,0.125361806
"518","Good","TEMP1275",1123,21,"9B","Matadha, D.et al.",2004,"Effect of temperature on development, fecundity, and life table parameters of Encarsia citrina Craw (Hymenoptera : Aphelinidae), a parasitoid of Euonymus scale, Unaspis euonymi (Comstock), and Quadraspidiotus perniciosus (Comstock) (Homoptera : Diaspididae)","10.1603/0046-225X-33.5.1185","Encarsia citrina","Aphelinidae","Insecta","Arthropoda","Unsure","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP1275A","Female","Female",25,-5,25,20,"Cool",0.454415895,0.083773746,0.931069486,0.090512487
"519","Good","TEMP1275",1123,21,"9B","Matadha, D.et al.",2004,"Effect of temperature on development, fecundity, and life table parameters of Encarsia citrina Craw (Hymenoptera : Aphelinidae), a parasitoid of Euonymus scale, Unaspis euonymi (Comstock), and Quadraspidiotus perniciosus (Comstock) (Homoptera : Diaspididae)","10.1603/0046-225X-33.5.1185","Encarsia citrina","Aphelinidae","Insecta","Arthropoda","Unsure","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial","USA","North America",NA,"More than 5 days","Adult","No","Constant","No","TEMP1275A","Female","Female",25,2.5,25,27.5,"Warm",-1.522015363,0.11279873,-0.344322107,0.088907718
"536","Good","TEMP131",200,2,"19","Bahsi, S. U.; Tunc, I.",2008,"Development, survival and reproduction of Orius niger (Hemiptera : Anthocoridae) under different photoperiod and temperature regimes","10.1080/09583150802302215","Orius niger","Anthocoridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP131A","Female","Female",26,-8,26,18,"Cool",-4.594660768,0.560740897,1.663844142,0.20799993
"537","Good","TEMP131",200,2,"19","Bahsi, S. U.; Tunc, I.",2008,"Development, survival and reproduction of Orius niger (Hemiptera : Anthocoridae) under different photoperiod and temperature regimes","10.1080/09583150802302215","Orius niger","Anthocoridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP131A","Female","Female",26,-4,26,22,"Cool",-1.106278035,0.15432609,0.46067222,0.137465553
"538","Good","TEMP131",200,2,"19","Bahsi, S. U.; Tunc, I.",2008,"Development, survival and reproduction of Orius niger (Hemiptera : Anthocoridae) under different photoperiod and temperature regimes","10.1080/09583150802302215","Orius niger","Anthocoridae","Insecta","Arthropoda","Both","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP131A","Female","Female",26,4,26,30,"Warm",-0.566100706,0.139269738,-3.262974849,0.311378653
"539","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312A","Female","Female",20,5,20,25,"Warm",-0.756808839,0.17976466,-2.265253789,0.226567216
"540","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312A","Female","Female",20,7.5,20,27.5,"Warm",-0.802826819,0.17522828,-2.020685087,0.201386137
"541","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312A","Female","Female",20,15,20,35,"Warm",-4.243278641,0.652155543,-3.103055164,0.342747899
"542","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312B","Female","Female",20,5,20,25,"Warm",-0.101117753,0.191152539,-1.208664389,0.225691701
"543","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312B","Female","Female",20,7.5,20,27.5,"Warm",-0.190610471,0.136914127,-1.334813185,0.163359489
"544","Good","TEMP1312",1153,22,"9B","Mehrnejad & Copland, 2005",2005,"The seasonal forms and reproductive potential of the common pistachio psylla, Agonoscena pistaciae (Hem., Psylloidea","10.1111/j.1439-0418.2005.00974.x","Agonoscena pistaciae","Aphalaridae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1312B","Female","Female",20,15,20,35,"Warm",-3.510129674,0.461841144,-1.631650605,0.24232463
"545","Good","TEMP1313",1154,22,"9B","Mehrparvar & Hatami, 2007",2007,"Effect of temperature on some biological parameters of an Iranian population of the Rose Aphid, Macrosiphum rosae (Hemiptera : Aphididae)","10.14411/eje.2007.078","Macrosiphum rosae","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Wild-caught","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1313A","Female","Female",NA,-10,25,15,"Cool",1.987729245,0.298776689,4.49650891,0.705464809
"546","Good","TEMP1313",1154,22,"9B","Mehrparvar & Hatami, 2007",2007,"Effect of temperature on some biological parameters of an Iranian population of the Rose Aphid, Macrosiphum rosae (Hemiptera : Aphididae)","10.14411/eje.2007.078","Macrosiphum rosae","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Wild-caught","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1313A","Female","Female",NA,-7,25,18,"Cool",4.969433573,0.817381751,2.888506663,0.408586769
"547","Good","TEMP1313",1154,22,"9B","Mehrparvar & Hatami, 2007",2007,"Effect of temperature on some biological parameters of an Iranian population of the Rose Aphid, Macrosiphum rosae (Hemiptera : Aphididae)","10.14411/eje.2007.078","Macrosiphum rosae","Aphididae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Wild-caught","Experimental","Terrestrial","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1313A","Female","Female",NA,-3,25,22,"Cool",9.022398256,2.235091757,2.405903546,0.344709297
"548","Good","TEMP1361",1190,22,"24B","Mohammed et al, 2020",2020,"Age-specific life tables of Aonidiella aurantii (Maskell) (Hemiptera: Diaspididae) and its parasitoid Aphytis melinus DeBach (Hymenoptera: Aphelinidae","10.3906/tar-1905-36","Aonidiella aurantii","Diaspididae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1361A","Female","Female",NA,-3,23,20,"Cool",-5.921654853,0.513825968,4.048692709,0.27569527
"549","Good","TEMP1361",1190,22,"24B","Mohammed et al, 2020",2020,"Age-specific life tables of Aonidiella aurantii (Maskell) (Hemiptera: Diaspididae) and its parasitoid Aphytis melinus DeBach (Hymenoptera: Aphelinidae","10.3906/tar-1905-36","Aonidiella aurantii","Diaspididae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1361A","Female","Female",NA,4,23,27,"Warm",2.212353559,0.129081118,-3.476826669,0.220816184
"576","Good","TEMP1433",1246,23,"11A","Negm, M. W.et al.",2014,"Biology, Predation, and Life Table of Cydnoseius negevi and Neoseiulus barkeri (Acari: Phytoseiidae) on the Old World Date Mite, Oligonychus afrasiaticus (Acari: Tetranychidae","10.1093/jisesa/ieu039","Cydnoseius negevi","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Mix","Experimental","Terrestrial","Saudi Arabia","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1433A","Female","Female",30,10,25,35,"Warm",2.048389631,0.009691935,-1.345684465,0.00773547
"577","Good","TEMP1433",1246,23,"11A","Negm, M. W.et al.",2014,"Biology, Predation, and Life Table of Cydnoseius negevi and Neoseiulus barkeri (Acari: Phytoseiidae) on the Old World Date Mite, Oligonychus afrasiaticus (Acari: Tetranychidae","10.1093/jisesa/ieu039","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Mix","Experimental","Terrestrial","Saudi Arabia","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1433B","Female","Female",30,10,25,35,"Warm",2.239811537,0.01036529,-1.655429401,0.008498013
"578","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus indicus","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456A","Female","Female",30,-10,30,20,"Cool",-1.792186973,0.350372942,0.747579181,0.267464832
"579","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus indicus","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456A","Female","Female",30,-5,30,25,"Cool",-0.432991488,0.255858801,-0.123788713,0.250478864
"580","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus indicus","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456A","Female","Female",30,5,30,35,"Warm",-1.776108206,0.348580011,-0.530374956,0.25879055
"581","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus surinamensis","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456B","Female","Female",30,-10,30,20,"Cool",-1.243440062,0.298316975,0.13254639,0.250549017
"582","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus surinamensis","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456B","Female","Female",30,-5,30,25,"Cool",-0.365549412,0.254175824,-0.444959882,0.256187166
"583","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus surinamensis","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456B","Female","Female",30,5,30,35,"Warm",-1.243440062,0.298316975,-0.380165131,0.254516423
"584","Good","TEMP1457",1266,24,"21A","Nishikawa, H.et al.",2010,"Thermal effect on the development and reproduction of an indigenous mind bug, Pilophorus typicus Distant (Heteroptera: Miridae), a potential biological control agent in Japan","10.1303/aez.2010.313","Pilophorus typicus","Miridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1457A","Female","Female",25,-7.5,25,17.5,"Cool",-2.222623288,0.348801086,0.313899266,0.251970655
"585","Good","TEMP1457",1266,24,"21A","Nishikawa, H.et al.",2010,"Thermal effect on the development and reproduction of an indigenous mind bug, Pilophorus typicus Distant (Heteroptera: Miridae), a potential biological control agent in Japan","10.1303/aez.2010.313","Pilophorus typicus","Miridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1457A","Female","Female",25,-5,25,20,"Cool",-2.428947458,0.152589645,-0.153685536,0.088718269
"586","Good","TEMP1457",1266,24,"21A","Nishikawa, H.et al.",2010,"Thermal effect on the development and reproduction of an indigenous mind bug, Pilophorus typicus Distant (Heteroptera: Miridae), a potential biological control agent in Japan","10.1303/aez.2010.313","Pilophorus typicus","Miridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1457A","Female","Female",25,-2.5,25,22.5,"Cool",-0.571913418,0.104088562,-0.09984142,0.100124604
"587","Good","TEMP1457",1266,24,"21A","Nishikawa, H.et al.",2010,"Thermal effect on the development and reproduction of an indigenous mind bug, Pilophorus typicus Distant (Heteroptera: Miridae), a potential biological control agent in Japan","10.1303/aez.2010.313","Pilophorus typicus","Miridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1457A","Female","Female",25,2.5,25,27.5,"Warm",-0.557488209,0.101409207,-1.348194562,0.11978525
"588","Good","TEMP1457",1266,24,"21A","Nishikawa, H.et al.",2010,"Thermal effect on the development and reproduction of an indigenous mind bug, Pilophorus typicus Distant (Heteroptera: Miridae), a potential biological control agent in Japan","10.1303/aez.2010.313","Pilophorus typicus","Miridae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1457A","Female","Female",25,5,25,30,"Warm",-1.477608176,0.116477189,-2.132547913,0.143345764
"595","Good","TEMP1472",1279,24,"10B","Nunney, L.; Cheung, W. m. o.",1997,"The effect of temperature on body size and fecundity in female Drosophila melanogaster: Evidence for adaptive plasticity","10.2307/2411205","Drosophila melanogaster","Drosophilidae","Insecta","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (< 4 days)","TEMP1472A","Female","Female",25,-7,25,18,"Cool",1.710988765,0.068296766,1.092900947,0.057465203
"600","Good","TEMP1492",1297,24,"11C","Oliveira, M. L. M.et al.",2004,"Effect of temperature on the biology of Noctua atlantica (Lepidoptera : Noctuidae), a species endemic to the Azores","10.14411/eje.2004.059","Noctua atlantica","Noctuidae","Insecta","Arthropoda","Both","Internal","No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP1492A","Female","Yes",NA,-15,25,10,"Cool",0.558484058,0.081811542,3.12681941,0.250077376
