"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Effect.size.code","Experiment.code","Trait.category","Trait","Sex","Rearing.temperature","es","v","diff","reftemp","treattemp","gtest","warm.cool"
"624","Good","TEMP286",318,5,"C","Bybee, L. F.et al.",2004,"Effects of temperature on fecundity and longevity of Phoracantha recurva and P-semipunctata (Coleoptera : Cerambycidae)","10.1603/0046-225X-33.2.138","Phoracantha semipunctata","Cerambycidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP286_3","TEMP286_B","Reproduction","Total fecundity","Female",NA,-2.29488123660938,0.301510906594131,-15,25,10,NA,"Cool"
"672","Good","TEMP386",401,7,"4A","Choi, K. S.et al.",2020,"Thermal effect on the fecundity and longevity of Bactrocera dorsalis adults and their improved oviposition model","10.1371/journal.pone.0235910","Bactrocera dorsalis","Tephritidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP386_2","TEMP386A","Reproduction","Eggs per female","Female",27,-4.47645112124176,0.424938902758228,-14.6,28.1,13.5,NA,"Cool"
"776","Good","TEMP638",582,10,"20B","Gharibi, M. R.et al.",2016,"Life Cycle of the Fairy Shrimp, Phallocryptus spinosa Milne Edwards, 1840 (Crustacea: Anostraca) at Different Temperatures",NA,"Phallocryptus spinosa","Thamnocephalidae","Crustacea","Arthropoda","Both sexes","Internal","No","Lab","Wild-caught","Experimental","Aquatic","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP638_1","TEMP638_A","Reproduction","number of clutch per female","Female",25,-2.29751810275559,0.207477959882651,-10,25,15,NA,"Cool"
"777","Good","TEMP638",582,10,"20B","Gharibi, M. R.et al.",2016,"Life Cycle of the Fairy Shrimp, Phallocryptus spinosa Milne Edwards, 1840 (Crustacea: Anostraca) at Different Temperatures",NA,"Phallocryptus spinosa","Thamnocephalidae","Crustacea","Arthropoda","Both sexes","Internal","No","Lab","Wild-caught","Experimental","Aquatic","Iran","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP638_2","TEMP638_A","Reproduction","offspring number per clutch","Female",25,-3.92397893787465,0.365587667263811,-10,25,15,NA,"Cool"
"787","Good","TEMP653",597,10,"5A","Goebel, R.",2006,"The effect of temperature on development and reproduction of the sugarcane stalk borer, Chilo sacchariphagus (Bojer 1856) (Lepidoptera : Crambidae)",NA,"Chilo sacchariphagus","Crambidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","RÃÂ©union","Africa",NA,"More than 5 days","Adult","No","Constant","No","TEMP653_1","TEMP653A","Reproduction","Lifetime egg number","Female",25,-5.85080062028266,0.349988727422821,-10,25,15,NA,"Cool"
"818","Good","TEMP705",646,11,"C","Guo, J.-Y.et al.",2012,"Performance of Agasicles hygrophila (Coleoptera: Chrysomelidae), a biological control agent of invasive alligator weed, at low non-freezing temperatures","10.1007/s10530-010-9932-3","Agasicles hygrophila","Chrysomelidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","No","TEMP705_1","TEMP705_A","Reproduction","eggs per female","Female",25,-8.64934787461711,1.02065445849083,-22,25,3,NA,"Cool"
"835","Good","TEMP800",724,13,NA,"Hoffmann, K. H.",1974,"EFFECTS OF CONSTANT AND VARYING TEMPERATURES ON LIFE-SPAN, FOOD UTILIZATION AND FERTILITY OF ADULT CRICKETS, GRYLLUS-BIMACULATUS","10.1007/BF00345094","Gryllus bimaculatus","Gryllidae","Insecta","Arthropoda","both","Internal","no","Lab","lab/commercial","Experimental","Terrestrial","Switzerland","Europe",NA,"More than 5 days","adult","Yes","Both","No","TEMP800_1","TEMP800A","Reproduction","egg number","Female",27,-2.32052326095934,0.223080470077556,-22,27,5,NA,"Cool"
"882","Good","TEMP936",819,15,"7A","Joshi, D. S.",1996,"Effect of fluctuating and constant temperatures on development, adult longevity and fecundity in the mosquito Aedes krombeini","10.1016/0306-4565(95)00035-6","Aedes krombeini","Culicidae","Insecta","Arthropoda","Both sexes","Internal","Other","Lab","Lab-reared","Experimental","Both","India","Asia",NA,"Mix","Mix","No","Both","No","TEMP936_3","TEMP936A","Reproduction","Fecundity","Female",25,-171.736531591319,142.527825408349,-12,26,14,NA,"Cool"
"923","Good","HUM169",2109,41,"19A","Kumari & Sadana",1991,"INFLUENCE OF TEMPERATURE AND RELATIVE-HUMIDITY ON THE DEVELOPMENT OF AMBLYSEIUS-ALSTONIAE (ACARI, PHYTOSEIIDAE","10.1007/BF01246091","Amblyseius alstoniae","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM169_2","HUM169B","Longevity","Longevity (DAYS)","Female",NA,0,0,0,25,25,NA,"Reference"
"1341","Good","TEMP194",237,3,"2C","Betini et al, 2020",2020,"Food availability modulates temperature-dependent effects on growth, reproduction, and survival in Daphnia magna","10.1002/ece3.5925","Daphnia magna","Daphniidae","Crustacea","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP194_5","TEMP194B","Reproduction","Clutch size","Female",20,-4.74426094652003,0.0727005237021027,10,15,25,NA,"Warm"
"1342","Good","TEMP194",237,3,"2C","Betini et al, 2020",2020,"Food availability modulates temperature-dependent effects on growth, reproduction, and survival in Daphnia magna","10.1002/ece3.5925","Daphnia magna","Daphniidae","Crustacea","Arthropoda","Female","Internal","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP194_6","TEMP194B","Reproduction","Lifetime reproductive success","Female",20,-2.05953820653242,0.0292092991675591,10,15,25,NA,"Warm"
"1732","Good","TEMP705",646,11,"C","Guo, J.-Y.et al.",2012,"Performance of Agasicles hygrophila (Coleoptera: Chrysomelidae), a biological control agent of invasive alligator weed, at low non-freezing temperatures","10.1007/s10530-010-9932-3","Agasicles hygrophila","Chrysomelidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","Yes","Constant","No","TEMP705_1","TEMP705_A","Reproduction","eggs per female","Female",25,-8.64934787461711,1.02065445849083,-21,25,4,NA,"Cool"
