--,Decision,Exclusion reason,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Temperature,Humidity,pH,Salinity,Radiation,Number of stressors,Interaction effects?,Other stressors,Gamete traits,Gonad traits,Reproductive output,Mating behaviour,Survival,Comments,Number of projects,#SURVIVAL,#AQUATIC,#WILD,#SPERM,#COLD,#INTERACTION,...52
Sofia Gigliotti,Exclude,No sample size,TEMP1613,1406,27,12B,"Pizzol, J.et al.",2010,Temperature-dependent differences in biological traits between two strains of Trichogramma cacoeciae (Hymenoptera: Trichogrammatidae,10.1007/s10340-010-0327-0,Trichogramma cacoeciae,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,predicted offpsring numbers based on mortality rate,TEMP1615,1408,27,C,"Plantamp, C.et al.",2016,"All or nothing: Survival, reproduction and oxidative balance in Spotted Wing Drosophila (Drosophila suzukii) in response to cold",10.1016/j.jinsphys.2016.03.009,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fertility,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Sofia Gigliotti,Include,NA,TEMP1624,1413,27,12B,"Poncio, S.et al.",2016,Biology of Doryctobracon brasiliensis at different temperatures: development of life table and determining thermal requirements,10.1111/jen.12308,Doryctobracon brasiliensis,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Offspring number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Sofia Gigliotti,Include,NA,TEMP1635,1423,27,12B,"Pourtaghi, E.et al.",2016,"Effect of temperature on biological parameters of Aphidius matricariae, the Aphis fabae parasitoid",10.1163/15707563-00002508,Aphidius matricariae,Braconidae,Insecta,Arthropoda,Females only,Internal,Mix,Lab,Wild-caught,Experimental,Terrestrial,Iran,Asia,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,No sample size,TEMP1636,1424,27,13C,"Powell, S. J.; Bale, J. S.",2004,Cold shock injury and ecological costs of rapid cold hardening in the grain aphid Sitobion avenae (Hemiptera : Aphididae),10.1016/j.jinsphys.2004.01.003,Sitobion avenae,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Mads F. Schou,Include,NA,TEMP1637,1425,27,13C,"Powell, S. J.; Bale, J. S.",2005,Low temperature acclimated populations of the grain aphid Sitobion avenae retain ability to rapidly cold harden with enhanced fitness,10.1242/jeb.01685,Sitobion avenae,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Total fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Sofia Gigliotti,Exclude,No sample size,TEMP1648,1429,27,12B,"Prasad, Y. G.et al.",2012,"Effect of temperature on development, survival and reproduction of the mealybug, Phenacoccus solenopsis Tinsley (Hemiptera: Pseudococcidae) on cotton",10.1016/j.cropro.2012.03.027,Phenacoccus solenopsis,Pseudococcidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,India,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Sofia Gigliotti,Exclude,No sample size,TEMP1651,1431,27,12B,"Pratissoli, D.et al.",2004,Fertility life table of Trichogramma pretiosum and Trichogramma acacioi (Hymenoptera : Trichogrammatidae) on Sitotroga cerealella (Lepidoptera : Gelechiidae) eggs at different constant temperatures,NA,"Trichogramma pretiosum, Trichogramma acacioi",Trichogrammatidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Claire Smithson,Exclude,Life history parameters,TEMP1652,1432,27,21B,"Pratissoli, D.et al.",2004,Fertility life table of Trichogramma pretiosum and Trichogramma acacioi on eggs of Anagasta kuehniella at different temperatures,10.1590/S0100-204X2004000200014,"Trichogramma pretiosum, Trichogramma acacioi",Trichogrammatidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Brazil,South America,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,No sample size,TEMP1654,1434,27,13A,Premachet al.,2004,"Influence of temperature on the development, reproduction and longevity of Ceratothripoides claratris (Thysanoptera : Thripidae) on tomatoes",10.1079/BER2004311,Ceratothripoides claratris,Thripidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Farmed,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,No SD,TEMP1661,1440,27,13A,"PRUESS, K.",1963,EFFECTS OF FOOD TEMPERATURE AND OVIP3SITION SITE ON LONGEVITY AND FECUNDITY OF ARMY CUTWORM,10.1093/jee/56.2.219,Euxoa auxiliaris,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,Food level,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1663,1442,27,13C,"Pucherelli, S. F.et al.",2012,Russian wheat aphid (Hemiptera: Aphididae) reproduction and development on five noncultivated grass hosts,10.1007/s11829-011-9152-5,Diuraphis noxia,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,Host quality,NA,NA,Fecundity,NA,Yes,Has intrinsic rate of increase,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,No sample size,TEMP1668,1447,27,NA,Liu et al.,2015,Growth and Survival of Bradysia difformis Frey in Leek Nurseries under Various Temperatures and Photoperiods,NA,Bradysia difformis,Sciaridae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,Adults,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,number of eggs,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mads F. Schou,Include,NA,TEMP1669,1448,27,13A,"Qin, J. Y.et al.",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,Mythimna roseilinea,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,Number of eggs,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1670,1449,27,13A,"Qin, J. Y.et al.",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,Mythimna loreyi,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,Number of eggs,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Claire Smithson,Include,Life history parameters available,TEMP1671,1450,28,21B,"Qiu, B.et al.",2012,"Effect of Temperature on Development, Survival, and Fecundity of Microplitis manilae (Hymenoptera: Braconidae",10.1603/EN11101,Microplitis manilae,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,China,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,only population growth measures given,TEMP1675,1454,28,13B,"Qureshi, J. A.; Stansly, P. A. m. a.",2009,Exclusion techniques reveal significant biotic mortality suffered by Asian citrus psyllid Diaphorina citri (Hemiptera: Psyllidae) populations in Florida citrus,10.1016/j.biocontrol.2009.04.001,Diaphorina citri,Liviidae,Insecta,Arthropoda,Both sexes,Internal,Other,Semi-natural,Wild-caught,Natural,Terrestrial,USA,North America,NA,Natural variation,Mix,No,Fluctuating,NA,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Has net reproductive rate,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,Survival curve,TEMP1681,1460,28,NA,"RAE, D.; DEATH, G.",1991,"INFLUENCE OF CONSTANT TEMPERATURE ON DEVELOPMENT, SURVIVAL AND FECUNDITY OF SUGARCANE MEALYBUG, SACCHARICOCCUS-SACCHARI (COCKERELL) (HEMIPTERA, PSEUDOCOCCIDAE",10.1071/ZO9910105,Saccharicoccus sacchari, Pseudococcida,Insecta,Arthropoda,Females only,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,NA,NA,NA,more than 5 days,mix,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,egg number,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fay Frost,Include,NA,TEMP1682,1461,28,NA,"Raga, I. N.et al.",1988,"EFFECTS OF TEMPERATURE ON ADULT LONGEVITY, FERTILITY, AND RATE OF TRANS-OVARIAL PASSAGE OF RICE STRIPE VIRUS IN THE SMALL BROWN PLANTHOPPER, LAODELPHAX-STRIATELLUS FALLEN (HOMOPTERA, DELPHACIDAE)",NA,Laodelphax striatellus,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,Adults only,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,total number of hatched nymphs,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mads F. Schou,Include,NA,TEMP1683,1462,28,13A,"RAGA, I.et al.",1988,"EFFECTS OF TEMPERATURE ON ADULT LONGEVITY, FERTILITY, AND RATE OF TRANS-OVARIAL PASSAGE OF RICE STRIPE VIRUS IN THE SMALL BROWN PLANTHOPPER, LAODELPHAX-STRIALUS FALLEN (HOMOPTERA, DELPHACIDAE",10.1303/aez.23.67,Laodelphax striatellus,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Wild-caught,Experimental,Terrestrial,Japan,Asia,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of offspring,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,No sample size,TEMP1689,1467,28,13B,"Ramalho, F. S.et al.",2015,Temperature-Dependent Fecundity and Life Table of the Fennel Aphid Hyadaphis foeniculi (Passerini) (Hemiptera: Aphididae),10.1371/journal.pone.0122490,Hyadaphis foeniculi,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Wild-caught,Experimental,Terrestrial,Brasil,South America,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1690,1468,28,13A,"Ramirez-Soria, M. J.et al.",2017,Thermal effects on the biological parameters of the predatory mirid Pilophorus gallicus (Hemiptera: Miridae),10.1111/ens.12266,Pilophorus gallicus,Miridae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Spain,Europe,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Fertility assumed to be proportion of females producing a nymph,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,only population growth measures given,TEMP1692,1470,28,13C,"Ramos-Jiliberto, R.; Aranguiz-Acuna, A. m. n.",2007,Between-species differences in demographic responses to temperature of coexisting cladocerans,10.1111/j.1442-9993.2007.01758.x,"Daphnia ambigua, Ceriodaphnia dubia, Diaphanosoma chilense, Moiana micrura",Mix,Crustacea,Arthropoda,Parthenogenetic,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Chile,South America,El Platedo lake,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of offspring,NA,Yes,Has population growth rate,2,Yes,Yes,No,No,No,No,NA
Mads F. Schou,Exclude,No SD,TEMP1697,1474,28,13A,"Rao, M. S.; Prasad, T. V.",2020,Temperature based phenology model for predicting establishment and survival of Spodoptera litura (Fab.) on groundnut during climate change scenario in India,10.54386/jam.v22i1.118,Spodoptera litura,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Semi-natural,Wild-caught,Experimental,Terrestrial,India,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Has intrinsic rate of increase,1,Yes,No,No,No,No,No,NA
Alessio,Include,NA,TEMP170,220,3,2B,"Bayhan et al, 2006",2006,"Effect of temperature on development, mortality, fecundity, and reproduction of Aphis rumicisL. (Homoptera : Aphididae) on broadleaf dock (Rumex obtusifolius) and Swiss chard (Beta vulgaris vulgaris var. cida)",10.1007/s10340-005-0112-7,Aphis rumicis,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,"Experiments on two different host plants, put them as separate effect sizes",1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1700,1477,28,13B,"Rashki, M.et al.",2020,"Estimating some demographic parameters of Aphidius matricariae Haliday (Hymenoptera: Braconidae), the parasitoid of the greenbug aphid, Schizaphis graminum (Rondani) (Hemiptera: Aphididae), at different temperatures",10.1186/s41938-020-00253-w,Aphidius matricariae,Braconidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Wild-caught,Experimental,Terrestrial,Iran,Asia,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,No SD,TEMP1705,1482,28,13B,"RAUT, S.et al.",1992,"INFLUENCE OF TEMPERATURE ON SURVIVAL, GROWTH AND FECUNDITY OF THE FRESH-WATER SNAIL INDOPLANORBIS-EXUSTUS (DESHAYES",10.1590/S0074-02761992000100003,Indoplanorbis exustus,Planorbidae,Gastropoda,Mollusca,Hermaphrodite,Internal,No,Lab,Wild-caught,Experimental,Both,India,Asia,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,only population growth measures given,TEMP1706,1483,28,13A,"Ravuiwasa, K. T.et al.",2011,Temperature-Dependent Demography of Chilades pandava peripatria (Lepidoptera: Lycaenidae),10.1603/EC11034,Chilades pandava,Lycaenidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,Taiwan,Asia,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,reproduction rate,NA,Yes,Has intrinsic rate of increase,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1713,1490,28,13B,"REED, T.; SEMTNER, P. m. j.",1991,"INFLUENCE OF TEMPERATURE ON POPULATION DEVELOPMENT OF 2 COLOR MORPHS OF THE TOBACCO APHID (HOMOPTERA, APHIDIDAE) ON FLUE-CURED TOBACCO",10.18474/0749-8004-26.1.33,Myzus persicae,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Semi-natural,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Nymph number,NA,Yes,"non sexual reproduction, cohort of 4 used a unit of rep in fertility",1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,temperature not directly measured,TEMP1714,1491,28,13C,"Refsnider, J. M.et al.",2014,Population sex ratios under differing local climates in a reptile with environmental sex determination,10.1007/s10682-014-9710-2,Chrysemys picta,Emydidae,Reptilia,Chordata,Females only,Internal,No,Mix,Wild,Both,Aquatic,USA,North America,NA,Natural variation,Adult,No,Both,NA,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Temperature only a mean from meterological station,3,Yes,Yes,Yes,No,No,No,NA
Fay Frost,Exclude,F statistics used (and fluctuating temp),TEMP1715,1492,28,C,"Rehage, J. S.et al.",2020,"A closer look at invasiveness and relatedness: life histories, temperature, and establishment success of four congeners",10.1002/ecs2.3222,"Gambusia affinis, Gambusia holbrooki, Gambusia geiseri, Gambusia hispaniolae",Poeciliidae,Actinopterygii,Chordata,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,Yes,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Brood size,NA,Yes,NA,3,Yes,Yes,No,No,Yes,No,NA
Mads F. Schou,Exclude,temperature not directly measured,TEMP1716,1493,28,13A,"Reigada, C.; Godoy, W. A. C.",2006,"Larval density, temperature and biological aspects of Chrysomya megacephala (Diptera : Calliphoridae)",10.1590/S0102-09352006000400018,Chrysomya megacephala,Chrysomelidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Terrestrial,Brasil,South America,NA,More than 5 days,Pupae,No,Constant,No,Yes,No,No,No,No,1,NA,Density,NA,NA,Egg number,NA,Yes,Temperature only a mean from meterological station,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1718,1495,28,NA,"Ren, J. L.et al.",2016,"Influence of temperature on the development, reproduction, and life table of Calliptamus italicus (L.) (Orthoptera: Acridoidea)",10.1016/j.aspen.2015.12.016,Calliptamus italicus,Acrididae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,mix,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,egg number,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fay Frost,Exclude,longevity is boxplot,TEMP1719,1496,28,C,"Rendon, D.et al.",2019,"Interactions among morphotype, nutrition, and temperature impact fitness of an invasive fly",10.1002/ece3.4928,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,Diet,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,no useable data,TEMP1720,1497,28,C,"Rendon, D.et al.",2018,Survival and Fecundity Parameters of Two Drosophila suzukii (Diptera: Drosophilidae) Morphs on Variable Diet Under Suboptimal Temperatures,10.1093/jisesa/iey113,Drosophila suzukii,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Constant,No,Yes,Yes,No,No,No,2,Yes,Diet,NA,NA,Egg number,NA,Yes,NA,3,Yes,No,No,No,Yes,Yes,NA
Amanda Bretman,Exclude,No useable data,TEMP1724,1502,29,23C,"Reznik, S. Y.et al.",2009,Effect of temperature on the reproduction and development of Trichogramma buesi (Hymenoptera: Trichogrammatidae),10.14411/eje.2009.067,Trichogramma buesi,Trichogrammatidae,Insecta,Arthropoda,Females only,Unsure,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,"Egg number, fraction of egg laying females",NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Include,NA,TEMP1727,1505,29,C,"Riaz, T.et al.",2014,"Effect of Temperature on the Development, Survival, Fecundity and Longevity of Stored Grain Pest, Trogoderma granarium",NA,Trogoderma granarium,Dermestidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,Pakistan,Asia,NA,More than 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Amanda Bretman,Include,NA,TEMP1729,1500,29,23C,"Jandricic, S. E.et al.",2012,"Developmental Times and Life Table Statistics of Aulacorthum solani (Hemiptera: Aphididae) at Six Constant Temperatures, With Recommendations on the Application of Temperature-Dependent Development Models",10.1603/EN09351,Aulacorthum solani,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Wild-caught,Experimental,Terrestrial,USA,North America,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Rhonda Snook,Exclude,effect of temp on insectidcide,TEMP1730,1507,29,14C,"Ricupero, M.et al.",2020,Combined thermal and insecticidal stresses on the generalist predator Macrolophus pygmaeus,10.1016/j.scitotenv.2020.138922,Macrolophus pygmaeus,Miridae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,1 to 5 days,Adult,Yes,Constant,No,Yes,No,No,No,No,1,NA,Pesticide,NA,NA,Offspring number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Mads F. Schou,Exclude,No sample size,TEMP1738,1515,29,13B,"Ris, N.et al.",2004,"The joint effect of temperature and host species induce complex genotype-by-environment interactions in the larval parasitoid of Drosophila, Leptopilina heterotoma (Hymenoptera : Figitidae)",10.1111/j.0030-1299.2004.13274.x,Leptopilina heterotoma,Figitidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,Host,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Emily Churchill,Include,NA,TEMP1750,1524,29,22A,"RODRIGUEZDELBOSQUE, L.et al.",1989,"DEVELOPMENT AND LIFE FERTILITY TABLES FOR DIATRAEA-LINEOLATA (LEPIDOPTERA, PYRALIDAE) AT CONSTANT TEMPERATURES",10.1093/aesa/82.4.450,Diatraea lineolata,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Mads F. Schou,Include,NA,TEMP1752,1526,29,13B,"Rogell, B.et al.",2014,Sex-dependent evolution of life-history traits following adaptation to climate warming,10.1111/1365-2435.12179,Callosobruchus maculatus,Chrysomelidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,Offspring number,NA,Yes,"Extracted control lines, not lines adapted to high temp",1,Yes,No,No,No,No,No,NA
Mads F. Schou,Exclude,Fluctuating vs constant. same mean,TEMP1757,1531,29,13B,Rolandi et al.,2018,"The costs of living in a thermal fluctuating environment for the tropical haematophagous bug, Rhodnius prolixus",10.1016/j.jtherbio.2018.03.022,Rhodnius prolixus,Reduviidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,Constant vs fluctuation temp with same mean,1,Yes,No,No,No,No,No,NA
Marco Graziano,Exclude,No clear explanation of what temp was used,TEMP177,225,3,20,"Beltran-Pardo et al, 2015",2015,Tolerance to Gamma Radiation in the Tardigrade Hypsibius dujardini from Embryo to Adult Correlate Inversely with Cellular Proliferation,10.1371/journal.pone.0133658,Hypsibius dujardini,Hypsibiidae,Eutardigrada,Tardigrada,Parthenogenetic,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,Less than 24 hrs,Adult,Yes,Constant,Yes (< 4 days),Yes,No,No,No,Yes,2,Yes,No,NA,NA,Female fertility,NA,Yes,NA,4,Yes,Yes,No,No,Yes,Yes,NA
Rhonda Snook,Include,NA,TEMP1771,1540,29,14C,"Rossi, V.et al.",2017,Seasonal niche partitioning and coexistence of amphimictic and parthenogenetic lineages of Heterocypris barbara (Crustacea: Ostracoda,10.1139/cjz-2016-0038,Heterocypris barbara,Cyprididae,Crustacea,Arthropoda,Parthenogenetic,Internal,No,Mix,Wild-caught,Experimental,Aquatic,Italy,Europe,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"offspring number, % parthenogenetic females",NA,Yes,NA,2,Yes,Yes,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1779,1547,29,C,"Rukke, B. A.et al.",2017,"Mortality, fecundity and development among bed bugs (Cimex lectularius) exposed to prolonged, intermediate cold stress",10.1002/ps.4504,Cimex lectularius,Cimicidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Both,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Mads F. Schou,Include,NA,TEMP1780,1548,29,13B,"Rukke, B. A.et al.",2015,"Mortality, Temporary Sterilization, and Maternal Effects of Sublethal Heat in Bed Bugs",10.1371/journal.pone.0127555,Cimex lectularius,Cimicidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Mix,No,Constant,No,Yes,Yes,No,No,No,2,Yes,No,NA,NA,Egg number,NA,Yes,Nymph survival taken at week 10 where first adult eclosed. Adult survival taken at day 9 as latest day.,2,Yes,No,No,No,No,Yes,NA
